Journal Title,Publisher,ISSN,ISSN Online,Year Inception,Web Address,Field of Research,ABDC Rating 
4OR: Quarterly Journal of Operations Research,Springer International Publishing,1619-4500	,1614-2411	,2003	,http://www.springerlink.com/,1503	,B 
A St A - Advances in Statistical Analysis,Springer International Publishing,1863-8171	,1863-818X	,1890	,http://www.springerlink.com/,104	,C 
AACE International Transactions,AACE International,1528-7106	,1528-7106	,1967	,http://www.aacei.org/,1503	,B 
"Abacus: a journal of accounting, finance and business studies","John Wiley & Sons, Inc.",0001-3072	,1467-6281	,1965	,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6281,1501	,A 
Academia Economic Papers,American Economic Association,1018-161X	,	,1973	,http://www.sinica.edu.tw/econ/english/publication/aep.htm,1402	,C 
Academy of  Management Annals,Taylor & Francis Online,1941-6520	,1941-6067	,2008	,http://www.tandfonline.com/loi/rama20#.V4guB1fwzBI,1503	,A* 
Academy of Accounting and Financial Studies Journal,Academy of Accounting and Financial Studies,1096-3685	,	,1997	,http://www.alliedacademies.org/journals.php?jid=21,1501	,C 
Academy of Management Discoveries,Academy of Management,2168-1007	,	,2015	,http://aom.org/amd/,1503	,A 
Academy of Management Journal,Academy of Management ,0001-4273	,1948-0989	,1958	,http://amj.aom.org/,1503	,A* 
Academy of Management Learning and Education,Academy of Management ,1537-260X	,1944-9585	,2002	,http://aom.pace.edu/amle/,1503	,A* 
Academy of Management Perspectives,Academy of Management ,1558-9080	,1943-4529	,1987	,http://journals.aomonline.org/amp/,1503	,A 
Academy of Management Review,Academy of Management ,0363-7425	,1930-3807	,1976	,http://journals.aomonline.org/amr/,1503	,A* 
Academy of Marketing Science Review,Academy of Marketing Science,1526-1794	,	,1997	,http://www.worldcat.org/title/academy-of-marketing-science-review/oclc/502367306,1505	,B 
Academy of Marketing Studies Journal,Allied Academies ,1095-6298	,1528-2678	,1980	,http://www.alliedacademies.org/academy-of-marketing-studies-journal/,1505	,C 
Accident Analysis and Prevention,Elsevier ,0001-4575	,1879-2057	,1969	,http://www.journals.elsevier.com/accident-analysis-and-prevention/,1507	,A* 
Accountancy Business and the Public Interest,Association for Accountancy & Business Affairs,1745-7718	,	,2002	,http://visar.csustan.edu/aaba/aabajournalpage.html,1501	,C 
Accounting Accountability and Performance,Griffith University,1445-954X	,	,1995	,http://search.informit.com.au/browseJournalTitle;res=IELBUS;issn=1445-954X,1501	,C 
Accounting and Business Research,Taylor & Francis Online,0001-4788	,2159-4260	,1970	,http://www.tandfonline.com/rabr,1501	,A 
Accounting and Finance,"John Wiley & Sons, Inc.",0810-5391	,1467-629X	,1960	,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-629X,1501	,A 
Accounting and Finance Research,Sciedu Press,1927-5986	,1927-5994	,	,http://www.sciedu.ca/journal/index.php/afr,1501	,C 
Accounting and Taxation,The University of the South Pacific ,1944-529X	,	,2007	,http://www.theibfr.com/at.htm,1501	,C 
Accounting and the Public Interest,American Accounting Association,1530-9320	,	,2001	,http://aaajournals.org/loi/apin,1501	,B 
Accounting Auditing and Accountability Journal,,0951-3574	,1758-4205	,1988	,http://www.emeraldinsight.com/loi/aaaj,1501	,A 
Accounting Commerce and Finance: The Islamic Perspective Journal,University of Western Sydney,1328-8261	,	,1997	,,1502	,C 
Accounting Education: An International Journal,Taylor & Francis Online,0963-9284	,1468-4489	,1992	,http://www.tandfonline.com/raed,1501	,B 
Accounting Educators' Journal,American Accounting Association,1041-0392	,	,1988	,http://www.aejournal.com/ojs/index.php/aej/about,1501	,C 
Accounting Forum,Elsevier,0155-9982	,1467-6303	,1978	,http://www.journals.elsevier.com/accounting-forum/,1501	,B 
Accounting Historians Journal,The Academy of Accounting Historians,0148-4184	,	,1977	,http://www.jstor.org/journal/accohistjour,1501	,B 
Accounting History,Sage Publications,1032-3732	,1749-3374	,1996	,https://au.sagepub.com/en-gb/oce/journal/accounting-history,1501	,B 
"Accounting History Review (formerly Accounting, Business and Financial History)",Taylor & Francis Online,0958-5206	,1466-4275	,1990	,http://www.tandfonline.com/toc/rabf20/current,1501	,B 
Accounting Horizons,American Accounting Association,0888-7993	,1558-7975	,1987	,http://aaajournals.org/loi/acch,1501	,A 
Accounting in Europe,Taylor & Francis Online,1744-9480	,1744-9499	,2004	,http://www.tandfonline.com/raie,1501	,B 
Accounting Perspectives,"John Wiley & Sons, Inc.",1911-382X	,1911-3838	,2001	,http://au.wiley.com/WileyCDA/WileyTitle/productCd-APR.html,1501	,C 
Accounting Research Journal,,1030-9616	,	,1988	,http://info.emeraldinsight.com/loi/arj,1501	,B 
"Accounting, Organizations and Society",Elsevier ,0361-3682	,1873-6289	,1976	,http://www.journals.elsevier.com/accounting-organizations-and-society/,1501	,A* 
ACM Transactions on Computer-Human Interaction,Association for Computing Machinery,1073-0516	,1557-7325	,1994	,http://dl.acm.org/citation.cfm?id=J756,806	,A* 
ACM Transactions on Computing Education,The Association for Computing Machinery,	,1531-4278	,2009	,http://toce.acm.org/,806	,C 
ACM Transactions on Information Systems,Association for Computing Machinery,1046-8188	,1558-2868	,1983	,http://dl.acm.org/citation.cfm?id=J779,806	,C 
ACM Transactions on Modeling and Computer Simulation,Association for Computing Machinery,1049-3301	,1558-1195	,1991	,http://tomacs.acm.org/,1503	,B 
Acta Oeconomica,Akadémiai Kiadó Zrt,0001-6373	,1588-2659	,1966	,http://www.akademiai.com/loi/032,1499	,C 
Acta Psychologica,Elsevier ,0001-6918	,1873-6297	,1941	,http://www.journals.elsevier.com/acta-psychologica,1503	,A 
Acta Turistica,"University of Zagreb, Faculty of Economics and Business",0353-4316	,	,1989	,http://www.efzg.unizg.hr/default.aspx?id=6555,1506	,C 
"Acta Universitatis Bohemiae Meridionales: vedecky casopis pro ekonomiku, rizeni a obchod",Acta Universitatis,1212-3285	,	,1998	,http://ojs.ef.jcu.cz/acta/,1402	,C 
Action Learning and Action Research Journal,ALARA Association Inc.,1326-964X	,1326-964X	,1996	,http://journals.sfu.ca/alara/index.php/alarj/,1503	,C 
Action Research International,Southern Cross University Press,1445-6125	,1445-6125	,1998	,http://www.aral.com.au/ari/arihome.html,1503	,A 
Active Learning in Higher Education,Sage Publications,1469-7874	,1741-2625	,2000	,http://alh.sagepub.com/,1503	,C 
Actuarial Research Clearinghouse,Committee on Research of the Society of Actuaries,0732-5428	,	,2004	,http://www.soa.org/,1502	,C 
Adelaide Law Review,University of Adelaide ,0065-1915	,	,1960	,http://search.informit.com.au/browseJournalTitle;res=IELHSS;issn=0065-1915,180105	,A 
Administration and Society,Sage Publications,0095-3997	,1552-3039	,1969	,http://aas.sagepub.com/,1503	,B 
Administrative Science Quarterly,Sage Publications,0001-8392	,1930-3815	,1956	,http://asq.sagepub.com/,1503	,A* 
