ERAID,Rank,Title,FoR1,FoR1 Name,FoR2,FoR2 Name,FoR3,FoR2 Name,ISSN1,ISSN2,ISSN3,ISSN4
11662,C,1913: a journal of forms,2005,Literary Studies,,,,,1548-9914,,,
34647,B,3CMedia,20,"Language, Communication and Culture",,,,,1832-6161,1445-971X,,
39853,C,4OR: A Quarterly Journal of Operations Research,0102,Applied Mathematics,1503,Business and Management,,,1619-4500,0390-8127,,
32180,C,A St A: Advances in Statistical Analysis,0104,Statistics ,,,,,1863-8171,1863-818X,0002-6018,
30533,A,AA files: annals of the Architectural Association School of Architecture,1201,Architecture,,,,,0261-6823,,,
36072,B,AACE International Transactions,15,"Commerce, Management, Tourism and Services",12,Built Environment and Design,,,1528-7106,,,
35966,B,AACE Journal,13,Education,,,,,1551-3696,,,
15571,C,AACN Advanced Critical Care,1103,Clinical Sciences,,,,,1559-7768,1559-7776,1079-0713,
44322,C,AANA Journal,1103,Clinical Sciences,1110,Nursing,,,0094-6354,,,
44323,C,AAOHN Journal,1110,Nursing,,,,,0891-0162,,,
1704,A,AAPG Bulletin,0403,Geology,,,,,0149-1423,1558-9153,,
31090,C,AAPS Journal,1115,Pharmacology and Pharmaceutical Sciences,,,,,1550-7416,,,
14674,B,AAPS PharmSciTech,1115,Pharmacology and Pharmaceutical Sciences,,,,,1530-9932,,,
6714,C,Aarboeger for Nordisk Oldkyndighed og Historie,2101,Archaeology,,,,,0084-585X,,,
19953,C,AASA Journal of Scholarship and Practice,1303,Specialist Studies In Education,,,,,1931-6569,0898-252X,,
33045,B,ABA Journal: the lawyer's magazine,1801,Law,,,,,0747-0088,,,
19052,A,Abacus: a Journal of Accounting and Business Studies,1501,"Accounting, Auditing and Accountability",,,,,0001-3072,1467-6281,,
15573,C,Abdominal Imaging,1103,Clinical Sciences,,,,,0942-8925,0364-2356,,
30123,C,Abhandlungen fuer die Kunde des Morgenlandes,MD,Multidisciplinary,,,,,0567-4980,,,
36885,C,Aboriginal and Islander Health Worker Journal: a national resource journal for Aboriginal and Islander community education workers,1117,Public Health and Health Services,,,,,1037-3403,,,
34911,B,Aboriginal and Torres Strait Islander Studies Unit Research Report Series,1601,Anthropology ,2101,Archaeology,,,1322-7157,,,
6715,A,Aboriginal History,2103,Historical Studies,2005,Literary Studies,,,0314-8769,,,
35596,A,About Performance,1901,Art Theory and Criticism,1904,Performing Arts and Creative Writing,2002,Cultural Studies,1324-6089,,,
1,B,Abstract and Applied Analysis,0101,Pure Mathematics,,,,,1085-3375,1687-0409,,
44324,C,Academe,1301,Education Systems ,,,,,0190-2946,,,
30703,C,Academia de Stiinte a Republicii Moldova. Buletinul. Matematica,0101,Pure Mathematics,,,,,1024-7696,0236-3089,,
18241,C,Academia Economic Papers,14,Economics,,,,,1018-161X,,,
32182,C,Academia Paedagogica Nyiregyhaziensis. Acta Mathematica,0101,Pure Mathematics,,,,,1786-0091,0866-0182,,
3043,C,Academiae Scientiarum Hungarica. Acta Zoologica,0608,Zoology,,,,,1217-8837,0236-7130,0001-7264,
15574,B,Academic Emergency Medicine,1103,Clinical Sciences,,,,,1069-6563,1553-2712,,
13369,C,Academic Exchange Quarterly,1117,Public Health and Health Services,,,,,1096-1453,,,
44325,C,Academic Journal of Second Military Medical University,1117,Public Health and Health Services,1199,Other Medical and Health Sciences,,,0258-879X,,,
44326,C,Academic Journal of Xi'an Jiaotong University,MD,Multidisciplinary,,,,,1671-8267,,,
19961,C,Academic Leadership,1301,Education Systems ,,,,,1533-7812,,,
20514,A*,Academic Medicine,1302,Curriculum and Pedagogy ,,,,,1040-2446,1938-808X,,
21788,B,Academic Monthly,MD,Multidisciplinary,,,,,0439-8041,,,
15622,B,Academic Pediatrics,1114,Paediatrics and Reproductive Medicine,,,,,1876-2859,1530-1567,,
20534,C,Academic Psychiatry,1302,Curriculum and Pedagogy ,,,,,1042-9670,1545-7230,,
15575,B,Academic Radiology,1103,Clinical Sciences,,,,,1076-6332,1878-4046,,
11667,B,Academic.Writing: interdisciplinary perspectives on communication across the curriculum,2005,Literary Studies,,,,,1552-325X,,,
2071,C,Academie des Sciences. Comptes Rendus. Biologies,06,Biological Sciences,,,,,1631-0691,1768-3238,0764-4469,
1334,B,Academie des Sciences. Comptes Rendus. Chimie,03,Chemical Sciences,,,,,1631-0748,,,
34460,C,Academie des Sciences. Comptes Rendus. Geoscience,0403,Geology,,,,,1631-0713,1778-7025,,
107,B,Academie des Sciences. Comptes Rendus. Mathematique,0101,Pure Mathematics,,,,,1631-073X,1778-3569,0764-4442,
